###################################################################
# Scaling factors supplied by Silvia Piantelli to normalise E789
# light output to 2nd campaign light output: for alphas
# Currently this has been done for the 52 MeV/u data
###################################################################
RunList:          15000-45999 83000-127999
SignalIn:			TotLight
SignalOut:			ScaledTotLight
CalibType:			CsILightScaling
CalibOptions:		func=(x-[2])*[0]+[1],min=0,max=50000
ZRange:           2
CSI_1215: 2.075, 196.489955, 66.11746
CSI_1216: 2, 331.51861, 61.4613
CSI_1217: 2.425, 280.300844, 103.366744
CSI_1218: 1.3, 154.58451, 84.742102
CSI_1219: 1.475, 182.521473, 70.773621
CSI_1220: 1.85, 182.521473, 56.805139
CSI_1221: 1, 108.022905, 75.429781
CSI_1222: 0.95, 98.710584, 66.11746
CSI_1223: 2.35, 210.458436, 56.805139
CSI_1224: 2.05, 173.209152, 52.148979
CSI_1301: 1.1, 103.366744, 66.11746
CSI_1302: 1.65, 331.51861, 66.11746
CSI_1303: 1, 112.679065, 62.190176
CSI_1304: 1.025, 112.679065, 75.429781
CSI_1305: 0.775, 131.303708, 94.054423
CSI_1306: 0.725, 121.991386, 98.710584
CSI_1307: 1.3, 126.647547, 89.398263
CSI_1308: 1.35, 135.959868, 89.398263
CSI_1309: 0.7, 117.335226, 98.710584
CSI_1310: 1, 121.991386, 108.022905
CSI_1311: 1.375, 135.959868, 84.742102
CSI_1313: 0.975, 117.335226, 121.991386
CSI_1314: 0.8, 112.679065, 112.679065
CSI_1315: 0.95, 103.366744, 66.11746
CSI_1316: 0.85, 108.022905, 121.991386
CSI_1317: 1.3, 112.679065, 84.742102
CSI_1318: 0.675, 98.710584, 89.398263
CSI_1319: 1.025, 108.022905, 103.366744
CSI_1320: 0.9, 117.335226, 112.679065
CSI_1321: 0.875, 117.335226, 112.679065
CSI_1322: 1.125, 103.366744, 75.429781
CSI_1323: 1.025, 103.366744, 80.085942
CSI_1324: 0.9, 108.022905, 70.773621
CSI_1401: 1.025, 103.366744, 75.429781
CSI_1402: 1.1, 107.186598, 69.041899
CSI_1403: 0.775, 100.14147, 103.705223
CSI_1404: 1.05, 112.679065, 94.054423
CSI_1405: 0.85, 112.679065, 84.742102
CSI_1406: 1.025, 108.022905, 89.398263
CSI_1408: 1.025, 117.335226, 80.085942
CSI_1409: 0.7, 103.366744, 108.022905
CSI_1410: 1.075, 103.366744, 84.742102
CSI_1411: 0.95, 108.022905, 66.11746
CSI_1412: 1.125, 89.38216, 61.4613
CSI_1413: 1, 112.679065, 94.054423
CSI_1414: 1.075, 103.366744, 70.773621
CSI_1415: 1.1, 111.627905, 94.054423
CSI_1416: 0.875, 89.398263, 84.742102
CSI_1501: 1.475, 0, 0
CSI_1502: 1.3, 0, 0
CSI_1503: 0.95, 107.804437, 66.470267
CSI_1504: 1, 187.177634, 117.335226
CSI_1505: 1.05, 99.722416, 86.470267
CSI_1506: 0.775, 146.142545, 117.345983
CSI_1507: 1.075, 182.521473, 84.742102
CSI_1508: 1.275, 121.991386, 108.022905
CSI_1509: 0.75, 108.022905, 80.085942
CSI_1510: 0.9, 117.335226, 84.742102
CSI_1511: 1.1, 104.118906, 58.184091
CSI_1512: 2.375, 102.750711, 74.383949
CSI_1513: 0.975, 112.679065, 66.11746
CSI_1514: 0.65, 112.679065, 103.366744
CSI_1515: 0.825, 104.699137, 52.387173
CSI_1516: 1.8, 169.656156, 63.621054
CSI_1602: 1.15, 109.16905, 97.707732
CSI_1603: 0.8, 98.710584, 98.710584
CSI_1604: 1.05, 121.991386, 89.398263
CSI_1605: 1, 112.679065, 75.429781
CSI_1606: 0.8, 121.991386, 89.398263
CSI_1607: 0.825, 117.335226, 121.912602
CSI_1608: 1.375, 110.947344, 85.025066
