#################################################################
# Scaling factors supplied by Silvia Piantelli to normalise E789
# light output to 2nd campaign light output: for protons
# Currently this has been done for the 52 MeV/u data
#################################################################
RunList:          15000-45999 83000-127999
SignalIn:			TotLight
SignalOut:			ScaledTotLight
CalibType:			CsILightScaling
CalibOptions:		func=(x-[2])*[0]+[1],min=0,max=50000
ZRange:           1
CSI_1301: 1, 0, 0
CSI_1302: 1.2, 0, 0
CSI_1303: 1, 0, 0
CSI_1304: 1, 117.335226, 117.335226
CSI_1305: 0.65, 0, 0
CSI_1306: 0.7, 138.724924, 138.724924
CSI_1307: 1, 0, 0
CSI_1308: 1, 0, 0
CSI_1309: 0.6, 66.11746, 70.773621
CSI_1310: 0.8, 149.92835, 145.272189
CSI_1311: 1.425, 131.303708, 103.366744
CSI_1313: 0.7, 0, 0
CSI_1314: 0.7, 154.58451, 149.92835
CSI_1315: 0.825, 0, 0
CSI_1316: 0.725, 159.240671, 154.58451
CSI_1317: 1, 0, 0
CSI_1318: 0.55, 98.710584, 145.272189
CSI_1319: 0.825, 0, 0
CSI_1320: 0.675, 196.489955, 173.209152
CSI_1321: 0.825, 142.72206, 142.72206
CSI_1322: 1, 0, 0
CSI_1323: 1, 152.116755, 149.94985
CSI_1324: 0.7, 126.647547, 131.303708
CSI_1401: 1, 0, 0
CSI_1402: 1, 0, 0
CSI_1403: 0.725, 143.78223, 114.403648
CSI_1404: 0.85, 130.30981, 108.148276
CSI_1405: 0.75, 139.89434, 139.89434
CSI_1406: 0.675, 135.959868, 131.303708
CSI_1408: 1, 0, 0
CSI_1409: 0.5, 112.679065, 140.616029
CSI_1410: 0.95, 0, 0
CSI_1411: 0.775, 135.959868, 126.647547
CSI_1412: 1.35, 0, 0
CSI_1413: 0.875, 0, 0
CSI_1414: 0.9, 0, 0
CSI_1415: 0.8, 0, 0
CSI_1416: 0.725, 0, 0
CSI_1501: 0.825, 0, 0
CSI_1502: 1.2, 0, 0
CSI_1503: 0.525, 0, 0
CSI_1504: 0.525, 135.959868, 126.647547
CSI_1505: 0.85, 0, 0
CSI_1506: 0.775, 136.393256, 139.410806
CSI_1507: 0.625, 121.991386, 117.335226
CSI_1508: 0.925, 0, 0
CSI_1509: 0.725, 0, 0
CSI_1510: 0.8, 0, 0
CSI_1511: 1, 0, 0
CSI_1512: 1.25, 101.982445, 104.973133
CSI_1513: 0.725, 126.647547, 126.647547
CSI_1514: 0.575, 154.58451, 145.272189
CSI_1515: 0.65, 108.022905, 108.022905
CSI_1516: 1.25, 135.959868, 89.398263
CSI_1602: 1, 0, 0
CSI_1603: 0.9, 0, 0
CSI_1604: 0.85, 0, 0
CSI_1605: 0.75, 97.674404, 102.325567
CSI_1606: 1, 0, 0
CSI_1607: 0.825, 0, 0
CSI_1608: 1.425, 117.335226, 117.335226
CSI_1701: 2.95, 145.272189, 84.742102
CSI_1703: 1, 0, 0
CSI_1704: 1.5, 0, 0
CSI_1705: 1.65, 112.679065, 112.679065
CSI_1706: 1.225, 0, 0
CSI_1707: 1.9, 79.729578, 75.950925
CSI_1708: 1.375, 75.429781, 84.742102
